time,low,high,open,close,volume
2020-06-04T01:00:00,9630.14,9670.9,9634.59,9644.75,252.34735333
2020-06-04T00:00:00,9601.01,9676.79,9668.06,9633.34,367.41513019
2020-06-03T23:00:00,9595.46,9695,9611.23,9668.07,801.79669924
2020-06-03T22:00:00,9556.43,9610.01,9583.02,9610.01,420.9121969
2020-06-03T21:00:00,9574,9596.36,9581.55,9583.02,310.29825533
2020-06-03T20:00:00,9557.15,9589.75,9579.27,9581.54,259.29438602
2020-06-03T19:00:00,9518,9622.12,9600.38,9579.29,497.04087607
2020-06-03T18:00:00,9541.45,9620,9562.1,9600.38,533.8650686
2020-06-03T17:00:00,9551.01,9575,9556.79,9562.1,860.23492223
2020-06-03T16:00:00,9546.61,9584,9556.46,9557.79,877.04384639
2020-06-03T15:00:00,9527,9593.68,9583.59,9556.46,821.2391127
2020-06-03T14:00:00,9500,9598.35,9587.57,9583.58,468.11393238
2020-06-03T13:00:00,9579.35,9619.57,9602.74,9587.58,475.36678586
2020-06-03T12:00:00,9563.93,9649.99,9620.64,9602.75,544.61982711
2020-06-03T11:00:00,9568.65,9620.65,9591,9620.65,254.10402535
2020-06-03T10:00:00,9523.63,9619,9523.63,9592.28,465.14098186
2020-06-03T09:00:00,9501.15,9535,9504.87,9526.28,139.97470515
2020-06-03T08:00:00,9488.01,9529.32,9507.38,9505.87,125.23421189
2020-06-03T07:00:00,9487.16,9535,9515.05,9508.41,374.4980841
2020-06-03T06:00:00,9500,9524.69,9512.26,9515.05,293.39006482
2020-06-03T05:00:00,9385.22,9522,9495.45,9512.25,1034.18262847
2020-06-03T04:00:00,9475.18,9519.6,9486.63,9495.45,532.32162824
2020-06-03T03:00:00,9475.57,9499.22,9491.41,9486.63,303.04505117
2020-06-03T02:00:00,9471.06,9512,9503.24,9492.1,339.47963785
2020-06-03T01:00:00,9495,9531.19,9528.92,9503.24,322.37413791
2020-06-03T00:00:00,9494.2,9538.99,9521.53,9528.5,393.15087132
2020-06-02T23:00:00,9465.02,9538.36,9498.78,9522.46,543.5937329
2020-06-02T22:00:00,9425,9553.93,9528.54,9494.15,791.98896971
2020-06-02T21:00:00,9512.35,9552.39,9524.99,9526.3,372.52000885
2020-06-02T20:00:00,9456.57,9525,9509.64,9525,588.6785953
2020-06-02T19:00:00,9490.92,9540.22,9512.33,9509.64,535.98675847
